algorithm,domain,seed,target_acc,source_val,best_step,task_id
ANDMask,art_painting,100,0.830078125,0.9605179373953927,750,final_ANDMask_e0_s100
ANDMask,art_painting,101,0.814453125,0.9640557091489622,4000,final_ANDMask_e0_s101
ANDMask,art_painting,102,0.83056640625,0.9630595741393254,3750,final_ANDMask_e0_s102
ANDMask,cartoon,100,0.7888225255972696,0.955353703226907,3500,final_ANDMask_e1_s100
ANDMask,cartoon,101,0.7922354948805461,0.9567664260347603,3500,final_ANDMask_e1_s101
ANDMask,cartoon,102,0.8003412969283277,0.9543115286254302,4750,final_ANDMask_e1_s102
ANDMask,photo,100,0.9706586826347305,0.9602089830750694,3500,final_ANDMask_e2_s100
ANDMask,photo,101,0.9670658682634731,0.9579830578989629,2000,final_ANDMask_e2_s101
ANDMask,photo,102,0.9754491017964072,0.9589623174971935,2250,final_ANDMask_e2_s102
ANDMask,sketch,100,0.8180198523797404,0.9645522759258612,2000,final_ANDMask_e3_s100
ANDMask,sketch,101,0.7923135657928226,0.9666440633455259,3000,final_ANDMask_e3_s101
ANDMask,sketch,102,0.7762789513871214,0.9665638004913001,1750,final_ANDMask_e3_s102
ARM,art_painting,100,0.828125,0.9738827370029933,1000,final_ARM_e0_s100
ARM,art_painting,101,0.85888671875,0.9740216121733342,1250,final_ARM_e0_s101
ARM,art_painting,102,0.8935546875,0.9711491275166472,1250,final_ARM_e0_s102
ARM,cartoon,100,0.7930887372013652,0.9686451680446124,1500,final_ARM_e1_s100
ARM,cartoon,101,0.802901023890785,0.9658341641355602,2500,final_ARM_e1_s101
ARM,cartoon,102,0.7888225255972696,0.9745674085619426,750,final_ARM_e1_s102
ARM,photo,100,0.9658682634730539,0.9658454703126343,3000,final_ARM_e2_s100
ARM,photo,101,0.9508982035928144,0.9685916902360613,4750,final_ARM_e2_s101
ARM,photo,102,0.9604790419161676,0.9651125307986068,4250,final_ARM_e2_s102
ARM,sketch,100,0.7834054466785442,0.9829145337102528,1500,final_ARM_e3_s100
ARM,sketch,101,0.7383558157291932,0.9742000336776555,1750,final_ARM_e3_s101
ARM,sketch,102,0.7714431152965131,0.9722842885478494,750,final_ARM_e3_s102
CAD,art_painting,100,0.857421875,0.9791190225569874,4500,final_CAD_e0_s100
CAD,art_painting,101,0.83642578125,0.9795553919109355,4000,final_CAD_e0_s101
CAD,art_painting,102,0.84130859375,0.9740197431909549,4500,final_CAD_e0_s102
CAD,cartoon,100,0.7487201365187713,0.968496420952809,4250,final_CAD_e1_s100
CAD,cartoon,101,0.7734641638225256,0.9641239471440995,4750,final_CAD_e1_s101
CAD,cartoon,102,0.742320819112628,0.9691626697860256,5000,final_CAD_e1_s102
CAD,photo,100,0.9784431137724551,0.9654208041497219,4500,final_CAD_e2_s100
CAD,photo,101,0.9784431137724551,0.96808492994935,5000,final_CAD_e2_s101
CAD,photo,102,0.9730538922155688,0.9694273372500524,5000,final_CAD_e2_s102
CAD,sketch,100,0.7498091117332655,0.9769307747324819,4000,final_CAD_e3_s100
CAD,sketch,101,0.8065665563756681,0.9768660284596627,4500,final_CAD_e3_s101
CAD,sketch,102,0.7879867650801731,0.9699645283441017,3500,final_CAD_e3_s102
CDANN,art_painting,100,0.87060546875,0.9812557746937397,2000,final_CDANN_e0_s100
CDANN,art_painting,101,0.861328125,0.9762817606118266,1750,final_CDANN_e0_s101
CDANN,art_painting,102,0.86572265625,0.9781308904864341,4500,final_CDANN_e0_s102
CDANN,cartoon,100,0.8246587030716723,0.9793311948044172,2500,final_CDANN_e1_s100
CDANN,cartoon,101,0.810580204778157,0.974843289920245,1250,final_CDANN_e1_s101
CDANN,cartoon,102,0.7606655290102389,0.9764273176040582,3500,final_CDANN_e1_s102
CDANN,photo,100,0.9784431137724551,0.9702080721998807,3500,final_CDANN_e2_s100
CDANN,photo,101,0.9808383233532935,0.9668110445990314,2750,final_CDANN_e2_s101
CDANN,photo,102,0.9772455089820359,0.975433578586367,1750,final_CDANN_e2_s102
CDANN,sketch,100,0.7806057520997709,0.9787817735894687,1500,final_CDANN_e3_s100
CDANN,sketch,101,0.7864596589462968,0.9808382628719948,750,final_CDANN_e3_s101
CDANN,sketch,102,0.7503181471112242,0.9773952711049178,4000,final_CDANN_e3_s102
CORAL,art_painting,100,0.861328125,0.9629324398728265,1000,final_CORAL_e0_s100
CORAL,art_painting,101,0.87841796875,0.9639187029610005,1000,final_CORAL_e0_s101
CORAL,art_painting,102,0.841796875,0.9654684696696215,2250,final_CORAL_e0_s102
CORAL,cartoon,100,0.8003412969283277,0.9616446983938466,1250,final_CORAL_e1_s100
CORAL,cartoon,101,0.8400170648464164,0.9587651725344104,1000,final_CORAL_e1_s101
CORAL,cartoon,102,0.8216723549488054,0.9595900780936996,4500,final_CORAL_e1_s102
CORAL,photo,100,0.9706586826347305,0.9571816718601638,2750,final_CORAL_e2_s100
CORAL,photo,101,0.9676646706586827,0.9532507019129666,1750,final_CORAL_e2_s101
CORAL,photo,102,0.9664670658682635,0.9598870998377329,1750,final_CORAL_e2_s102
CORAL,sketch,100,0.7686434207177398,0.9673210159206382,2750,final_CORAL_e3_s100
CORAL,sketch,101,0.8167472639348434,0.9724897789733888,1250,final_CORAL_e3_s101
CORAL,sketch,102,0.8429625858997201,0.9722618061893057,1500,final_CORAL_e3_s102
CondCAD,art_painting,100,0.853515625,0.9764342456683889,4000,final_CondCAD_e0_s100
CondCAD,art_painting,101,0.849609375,0.9801170265490033,3500,final_CondCAD_e0_s101
CondCAD,art_painting,102,0.830078125,0.9757083850699168,4500,final_CondCAD_e0_s102
CondCAD,cartoon,100,0.7743174061433447,0.9735234404036989,4250,final_CondCAD_e1_s100
CondCAD,cartoon,101,0.7781569965870307,0.9741211672865316,3250,final_CondCAD_e1_s101
CondCAD,cartoon,102,0.799061433447099,0.974418661470139,4500,final_CondCAD_e1_s102
CondCAD,photo,100,0.9766467065868264,0.9656742031494807,5000,final_CondCAD_e2_s100
CondCAD,photo,101,0.9688622754491018,0.9658590801988556,5000,final_CondCAD_e2_s101
CondCAD,photo,102,0.9706586826347305,0.967694600187242,3750,final_CondCAD_e2_s102
CondCAD,sketch,100,0.7770425044540595,0.975624535102157,3250,final_CondCAD_e3_s100
CondCAD,sketch,101,0.7976584372613896,0.9757047979563828,3250,final_CondCAD_e3_s101
CondCAD,sketch,102,0.7370832272842962,0.9747292763229106,3250,final_CondCAD_e3_s102
DANN,art_painting,100,0.849609375,0.9802676426231862,2000,final_DANN_e0_s100
DANN,art_painting,101,0.87158203125,0.9791307634608294,3000,final_DANN_e0_s101
DANN,art_painting,102,0.828125,0.9789820163690258,2000,final_DANN_e0_s102
DANN,cartoon,100,0.8156996587030717,0.9744871834205228,4000,final_DANN_e1_s100
DANN,cartoon,101,0.810580204778157,0.9761757875866787,3500,final_DANN_e1_s101
DANN,cartoon,102,0.8327645051194539,0.9738209345873061,2250,final_DANN_e1_s102
DANN,photo,100,0.9802395209580839,0.9697628680864163,3500,final_DANN_e2_s100
DANN,photo,101,0.9760479041916168,0.9713449890750437,3750,final_DANN_e2_s101
DANN,photo,102,0.9784431137724551,0.9738242001124906,4500,final_DANN_e2_s102
DANN,sketch,100,0.8175108170017816,0.979368796730406,3750,final_DANN_e3_s100
DANN,sketch,101,0.7856961058793586,0.9797375136672093,3750,final_DANN_e3_s101
DANN,sketch,102,0.7986765080173072,0.979596769514489,3250,final_DANN_e3_s102
ERMPlusPlus,art_painting,100,0.8876953125,0.98323817279155,2000,final_ERMPlusPlus_e0_s100
ERMPlusPlus,art_painting,101,0.87060546875,0.9849385555743541,2750,final_ERMPlusPlus_e0_s101
ERMPlusPlus,art_painting,102,0.86962890625,0.9852360497579614,1000,final_ERMPlusPlus_e0_s102
ERMPlusPlus,cartoon,100,0.8225255972696246,0.9822909458052732,4250,final_ERMPlusPlus_e1_s100
ERMPlusPlus,cartoon,101,0.8370307167235495,0.9822107206638534,5000,final_ERMPlusPlus_e1_s101
ERMPlusPlus,cartoon,102,0.8348976109215017,0.98238381909658,4750,final_ERMPlusPlus_e1_s102
ERMPlusPlus,photo,100,0.9880239520958084,0.9819878446745282,4500,final_ERMPlusPlus_e2_s100
ERMPlusPlus,photo,101,0.9850299401197605,0.9765568478625024,3250,final_ERMPlusPlus_e2_s101
ERMPlusPlus,photo,102,0.9862275449101796,0.9797619572112276,4750,final_ERMPlusPlus_e2_s102
ERMPlusPlus,sketch,100,0.8279460422499364,0.9841785094263024,3750,final_ERMPlusPlus_e3_s100
ERMPlusPlus,sketch,101,0.8050394502417918,0.9836492667810472,1500,final_ERMPlusPlus_e3_s101
ERMPlusPlus,sketch,102,0.7818783405446679,0.9800007845884308,1500,final_ERMPlusPlus_e3_s102
Fish,art_painting,100,0.85400390625,0.9700258582405118,4750,final_Fish_e0_s100
Fish,art_painting,101,0.85546875,0.9657715708003667,750,final_Fish_e0_s101
