image,class,domain,pc1,pc2,tsne1,tsne2,full_head_prediction,slice_prediction,full_head_margin
art_painting/dog/pic_149.jpg,dog,art_painting,14.037612,-17.044254,-17.16646,-13.317941,dog,dog,9.460015
art_painting/dog/pic_121.jpg,dog,art_painting,12.791366,-16.849062,-22.646055,-11.879186,dog,dog,10.19269
art_painting/dog/pic_017.jpg,dog,art_painting,16.04495,-13.450568,-19.630953,-10.522386,dog,dog,8.834747
art_painting/dog/pic_105.jpg,dog,art_painting,16.503683,-15.75755,-19.79881,-11.015935,dog,dog,9.682329
art_painting/dog/pic_220.jpg,dog,art_painting,12.4664955,-14.80173,-19.074226,-11.167015,dog,dog,9.459818
art_painting/dog/pic_059.jpg,dog,art_painting,12.359487,-13.688362,-21.52735,-11.43654,dog,dog,9.058161
art_painting/dog/pic_210.jpg,dog,art_painting,12.127531,-12.678053,-22.471899,-10.631602,dog,dog,8.255544
art_painting/dog/pic_026.jpg,dog,art_painting,12.323505,2.6444576,-20.65653,-8.474577,dog,dog,0.83269405
art_painting/dog/pic_297.jpg,dog,art_painting,10.110903,-15.803391,-23.257942,-12.201057,dog,dog,8.737052
art_painting/dog/pic_213.jpg,dog,art_painting,15.529203,-21.519926,-19.165848,-15.68186,dog,dog,10.29714
art_painting/dog/pic_024.jpg,dog,art_painting,5.848569,-15.289967,-23.08054,-11.413575,dog,dog,6.656197
art_painting/dog/pic_257.jpg,dog,art_painting,13.115854,-18.039112,-20.902744,-13.625101,dog,dog,9.697956
art_painting/dog/pic_092.jpg,dog,art_painting,12.69416,-16.92338,-19.763659,-10.661885,dog,dog,9.805013
art_painting/dog/pic_016.jpg,dog,art_painting,9.574268,-19.09858,-22.792381,-15.654034,dog,dog,8.564813
art_painting/dog/pic_268.jpg,dog,art_painting,13.145697,-15.565841,-17.92028,-12.314246,dog,dog,9.317606
art_painting/dog/pic_378.jpg,dog,art_painting,13.533536,-11.786048,-21.159649,-11.341897,dog,dog,7.8040967
art_painting/dog/pic_261.jpg,dog,art_painting,9.86547,0.61002016,-20.245575,-9.041491,dog,dog,1.1629767
art_painting/dog/pic_107.jpg,dog,art_painting,14.8301525,-13.705055,-19.607206,-10.554799,dog,dog,9.15098
art_painting/elephant/pic_147.jpg,elephant,art_painting,5.925551,1.8256636,0.47398025,-35.325165,elephant,dog,9.490479
art_painting/elephant/pic_251.jpg,elephant,art_painting,1.6817536,-13.917825,-0.13631435,-29.99232,elephant,dog,1.4874742
art_painting/elephant/pic_065.jpg,elephant,art_painting,-1.7740498,-8.444396,0.12784272,-30.261436,elephant,dog,3.272482
art_painting/elephant/pic_231.jpg,elephant,art_painting,-2.3174143,-3.3635056,0.5665449,-31.324812,elephant,horse,5.055751
art_painting/elephant/pic_005.jpg,elephant,art_painting,7.738001,1.618489,0.523442,-34.7435,elephant,dog,8.626772
art_painting/elephant/pic_200.jpg,elephant,art_painting,5.2613926,1.6211634,0.5707989,-35.015236,elephant,dog,9.408839
art_painting/elephant/pic_172.jpg,elephant,art_painting,-5.701525,-0.035275996,18.221859,-19.159716,horse,horse,-2.8976908
