image,class,domain,pc1,pc2,tsne1,tsne2,full_head_prediction,slice_prediction,full_head_margin
art_painting/dog/pic_104.jpg,dog,art_painting,-6.1611185,4.2661915,-6.5445127,4.4058585,dog,dog,5.299472
art_painting/dog/pic_110.jpg,dog,art_painting,-11.621767,6.23568,-5.920773,3.1161277,dog,dog,7.323764
art_painting/dog/pic_378.jpg,dog,art_painting,-7.0375023,5.6273007,-7.532514,3.140658,dog,dog,9.8253
art_painting/dog/pic_368.jpg,dog,art_painting,-3.712533,7.6859374,-9.622021,3.9257,dog,dog,7.010775
art_painting/dog/pic_168.jpg,dog,art_painting,-3.3921437,5.6932993,-7.1908107,5.0567336,dog,dog,4.054493
art_painting/dog/pic_060.jpg,dog,art_painting,-6.3107567,3.5386357,-6.1170826,2.1796532,dog,dog,8.294101
art_painting/dog/pic_173.jpg,dog,art_painting,-1.5289433,4.2526636,-9.255794,3.9484706,dog,dog,5.500807
art_painting/dog/pic_301.jpg,dog,art_painting,-4.8959737,5.0724435,-8.330592,3.7053008,dog,dog,8.438546
art_painting/dog/pic_274.jpg,dog,art_painting,-5.483246,0.9660344,-12.630201,3.7047186,dog,dog,2.17447
art_painting/dog/pic_169.jpg,dog,art_painting,-5.884775,8.362812,-8.267319,3.3355484,dog,dog,11.369909
art_painting/dog/pic_035.jpg,dog,art_painting,-7.590125,5.9489236,-7.392612,3.0911558,dog,dog,10.005527
art_painting/dog/pic_221.jpg,dog,art_painting,-5.1476717,6.8617682,-11.739849,0.37178293,dog,dog,4.678384
art_painting/dog/pic_089.jpg,dog,art_painting,-1.827532,5.9409156,-8.712283,4.0135098,dog,dog,6.632721
art_painting/dog/pic_028.jpg,dog,art_painting,-8.613332,5.1232305,-6.400844,3.5504231,dog,dog,8.062795
art_painting/dog/pic_212.jpg,dog,art_painting,-8.00596,5.3301287,-6.3017807,2.9929621,dog,dog,6.4577236
art_painting/dog/pic_308.jpg,dog,art_painting,-4.663014,6.208118,-6.667961,4.1227794,dog,dog,7.2098365
art_painting/dog/pic_194.jpg,dog,art_painting,-3.2342496,4.8653,-7.8117385,3.807895,dog,dog,7.717049
art_painting/dog/pic_090.jpg,dog,art_painting,-4.2352953,7.8987327,-9.025059,3.742024,dog,dog,10.78983
art_painting/elephant/pic_132.jpg,elephant,art_painting,-6.3562183,-3.7463994,-27.005825,15.126444,elephant,elephant,6.207351
art_painting/elephant/pic_217.jpg,elephant,art_painting,-17.299475,-7.7838464,-25.419367,17.437483,elephant,elephant,14.526051
art_painting/elephant/pic_244.jpg,elephant,art_painting,-7.2620354,-4.889915,-27.289618,15.628073,elephant,elephant,4.325294
art_painting/elephant/pic_224.jpg,elephant,art_painting,-15.342169,-4.3916483,-25.337732,18.48135,elephant,elephant,12.065399
art_painting/elephant/pic_006.jpg,elephant,art_painting,-14.039618,-7.6292615,-25.089865,18.588226,elephant,elephant,12.961493
art_painting/elephant/pic_188.jpg,elephant,art_painting,-3.3515997,10.399744,-20.89234,-0.8645429,horse,horse,-4.930326
art_painting/elephant/pic_162.jpg,elephant,art_painting,-12.852754,-5.7331696,-24.283964,17.880442,elephant,elephant,10.60072
art_painting/elephant/pic_022.jpg,elephant,art_painting,-19.418379,-5.8372593,-23.924017,17.951868,elephant,elephant,14.445068
art_painting/elephant/pic_222.jpg,elephant,art_painting,-4.655249,-4.060965,-26.258066,14.328055,elephant,elephant,3.7115412
art_painting/elephant/pic_011.jpg,elephant,art_painting,-14.789965,-5.085018,-25.335264,17.391397,elephant,elephant,10.931146
art_painting/elephant/pic_146.jpg,elephant,art_painting,-10.372501,-5.940996,-27.134188,15.989466,elephant,elephant,6.346445
art_painting/elephant/pic_048.jpg,elephant,art_painting,-12.115324,-4.264615,-25.290598,18.96664,elephant,elephant,10.274776
art_painting/elephant/pic_042.jpg,elephant,art_painting,-10.873024,-4.924115,-25.162445,19.093845,elephant,elephant,9.338028
art_painting/elephant/pic_234.jpg,elephant,art_painting,-13.022318,-7.138522,-23.897808,18.718029,elephant,elephant,8.949052
art_painting/elephant/pic_012.jpg,elephant,art_painting,-16.200853,-6.3820586,-24.078697,18.300205,elephant,elephant,12.630159
art_painting/elephant/pic_003.jpg,elephant,art_painting,9.807225,-6.9939957,-8.17138,-28.172264,giraffe,giraffe,-6.7412224
art_painting/elephant/pic_070.jpg,elephant,art_painting,-18.332876,-7.1850944,-24.581295,17.763956,elephant,elephant,16.103548
art_painting/elephant/pic_031.jpg,elephant,art_painting,-16.265432,-7.4392343,-24.17877,17.83619,elephant,elephant,14.1439
art_painting/giraffe/pic_307.jpg,giraffe,art_painting,28.293106,-11.078194,-4.006057,-27.50162,giraffe,giraffe,18.944098
art_painting/giraffe/pic_245.jpg,giraffe,art_painting,17.806192,-8.584429,-3.2947702,-23.55253,giraffe,giraffe,12.337744
art_painting/giraffe/pic_105.jpg,giraffe,art_painting,12.316688,-5.499823,-6.0300627,-26.417833,giraffe,giraffe,9.070139
art_painting/giraffe/pic_270.jpg,giraffe,art_painting,11.601038,-7.2674537,-2.8280203,-22.666075,giraffe,giraffe,6.951314
art_painting/giraffe/pic_144.jpg,giraffe,art_painting,13.471337,-6.879488,-3.5871239,-23.639599,giraffe,giraffe,9.747432
art_painting/giraffe/pic_043.jpg,giraffe,art_painting,13.1542225,-4.47133,-7.3866334,-28.560703,giraffe,giraffe,8.292971
art_painting/giraffe/pic_265.jpg,giraffe,art_painting,8.613783,-3.2397118,-6.0833197,-23.114552,giraffe,giraffe,6.4962473
art_painting/giraffe/pic_132.jpg,giraffe,art_painting,6.1367836,-10.527809,-2.079794,-21.462004,giraffe,giraffe,4.3627367
art_painting/giraffe/pic_139.jpg,giraffe,art_painting,13.818535,-4.3558874,-5.0278807,-23.73625,giraffe,giraffe,9.336567
art_painting/giraffe/pic_101.jpg,giraffe,art_painting,11.245686,2.2166276,-7.722276,-24.362116,giraffe,giraffe,4.862074
art_painting/giraffe/pic_168.jpg,giraffe,art_painting,18.174625,-6.5524273,-4.8312106,-25.515692,giraffe,giraffe,12.504021
art_painting/giraffe/pic_145.jpg,giraffe,art_painting,18.757793,-7.6487937,-2.7435672,-27.704262,giraffe,giraffe,11.977977
art_painting/giraffe/pic_085.jpg,giraffe,art_painting,6.3652906,-3.44095,-1.5678722,-23.357689,giraffe,giraffe,3.3032897
art_painting/giraffe/pic_143.jpg,giraffe,art_painting,21.198128,-6.4512477,-4.3935213,-26.744371,giraffe,giraffe,14.332474
art_painting/giraffe/pic_028.jpg,giraffe,art_painting,16.869804,-3.6563702,-1.496937,-26.488914,giraffe,giraffe,9.776904
art_painting/giraffe/pic_210.jpg,giraffe,art_painting,18.937763,-6.0367293,-5.5119066,-25.958763,giraffe,giraffe,13.298585
art_painting/giraffe/pic_261.jpg,giraffe,art_painting,18.529512,-6.552978,-3.041781,-27.278345,giraffe,giraffe,12.416289
art_painting/giraffe/pic_160.jpg,giraffe,art_painting,12.295893,-6.1370316,-3.6109836,-24.111542,giraffe,giraffe,8.624643
art_painting/guitar/pic_029.jpg,guitar,art_painting,0.57495344,-7.3722167,11.107069,16.549013,guitar,giraffe,7.029845
art_painting/guitar/pic_179.jpg,guitar,art_painting,0.15582371,-9.282258,10.24858,14.788707,guitar,giraffe,9.894726
art_painting/guitar/pic_201.jpg,guitar,art_painting,0.31040013,-9.500944,9.996211,17.909697,guitar,giraffe,8.481103
art_painting/guitar/pic_059.jpg,guitar,art_painting,-0.7734904,-9.670811,10.368747,14.480636,guitar,guitar,11.569241
art_painting/guitar/pic_055.jpg,guitar,art_painting,-3.3020935,-11.693113,11.853043,14.025826,guitar,elephant,10.16112
art_painting/guitar/pic_031.jpg,guitar,art_painting,-0.7390504,-11.009609,9.08605,10.930449,guitar,guitar,5.567032
art_painting/guitar/pic_035.jpg,guitar,art_painting,-1.1525916,-10.208126,9.049128,17.279116,guitar,guitar,13.312125
art_painting/guitar/pic_197.jpg,guitar,art_painting,-0.0065705776,-9.414183,10.419236,15.648898,guitar,giraffe,11.294848
art_painting/guitar/pic_175.jpg,guitar,art_painting,-1.0794306,-11.303543,11.31003,14.292151,guitar,guitar,12.667807
art_painting/guitar/pic_037.jpg,guitar,art_painting,1.5805508,-13.25209,10.349381,15.479605,guitar,giraffe,15.644031
art_painting/guitar/pic_099.jpg,guitar,art_painting,-1.4763248,-10.199287,12.128719,13.898192,guitar,elephant,5.7925906
art_painting/guitar/pic_127.jpg,guitar,art_painting,1.0221709,-6.164536,8.534302,18.031748,guitar,giraffe,7.813365
art_painting/guitar/pic_180.jpg,guitar,art_painting,-0.08406305,-10.732433,8.731869,10.56614,guitar,guitar,4.416107
art_painting/guitar/pic_080.jpg,guitar,art_painting,0.18761492,-13.20031,10.236653,15.115651,guitar,guitar,15.643777
art_painting/guitar/pic_020.jpg,guitar,art_painting,-4.1289043,-7.8036327,9.2327,11.486849,guitar,elephant,5.7020416
art_painting/guitar/pic_063.jpg,guitar,art_painting,-0.6180335,-6.6710553,11.007412,14.790493,guitar,giraffe,7.8850183
art_painting/guitar/pic_137.jpg,guitar,art_painting,-0.9901487,-5.087761,8.812748,12.014303,guitar,elephant,8.8295555
art_painting/guitar/pic_089.jpg,guitar,art_painting,-0.4826206,-9.637803,9.893559,14.798651,guitar,guitar,11.063099
art_painting/horse/pic_083.jpg,horse,art_painting,4.299851,21.004099,-20.615353,-3.9393144,horse,horse,16.610882
art_painting/horse/pic_168.jpg,horse,art_painting,5.907172,15.428822,-20.736382,-5.031557,horse,horse,11.917452
art_painting/horse/pic_113.jpg,horse,art_painting,-9.75733,7.59378,-22.08736,0.8068858,horse,dog,0.37965012
art_painting/horse/pic_222.jpg,horse,art_painting,-7.16002,8.720915,-13.737362,0.37469122,dog,dog,-3.2310195
art_painting/horse/pic_121.jpg,horse,art_painting,6.3229294,9.202806,-19.13996,-5.9073234,horse,horse,6.3107867
art_painting/horse/pic_157.jpg,horse,art_painting,1.2136782,6.1375394,-22.371613,-5.9071536,horse,horse,4.191838
art_painting/horse/pic_123.jpg,horse,art_painting,4.4187965,11.526037,-20.395689,-5.2681003,horse,horse,10.334671
art_painting/horse/pic_195.jpg,horse,art_painting,-0.80637133,7.531897,-10.966139,-1.1172601,dog,horse,-3.8682656
art_painting/horse/pic_076.jpg,horse,art_painting,0.9415344,12.549128,-20.521412,-3.2033226,horse,horse,9.482036
art_painting/horse/pic_033.jpg,horse,art_painting,2.5392456,11.949699,-21.153086,-4.9811535,horse,horse,11.031246
