image,class,domain,pc1,pc2,tsne1,tsne2,full_head_prediction,slice_prediction,full_head_margin
art_painting/dog/pic_149.jpg,dog,art_painting,-0.85776466,-0.5074058,-0.17769067,-2.3267856,dog,dog,5.3053927
art_painting/dog/pic_121.jpg,dog,art_painting,-2.1523144,0.65500444,-4.066289,1.0904204,dog,horse,6.1127315
art_painting/dog/pic_017.jpg,dog,art_painting,-3.4343474,-2.9971478,-0.4040864,0.14684245,dog,dog,9.769683
art_painting/dog/pic_105.jpg,dog,art_painting,-3.0045187,-3.1571257,-0.41568047,0.8634755,dog,dog,9.192168
art_painting/dog/pic_220.jpg,dog,art_painting,-1.7109191,-2.5432348,-0.07123137,2.1944773,dog,dog,8.35644
art_painting/dog/pic_059.jpg,dog,art_painting,-2.8927667,-1.4232564,1.7881895,0.3843505,dog,dog,6.6671734
art_painting/dog/pic_210.jpg,dog,art_painting,-2.2773373,-2.242683,1.8048962,0.39697322,dog,dog,6.6262765
art_painting/dog/pic_026.jpg,dog,art_painting,-2.9109514,-2.1307669,-15.274603,19.629,giraffe,dog,-2.45091
art_painting/dog/pic_297.jpg,dog,art_painting,-4.0816035,-2.2345028,-2.5277066,0.82615733,dog,dog,9.121872
art_painting/dog/pic_213.jpg,dog,art_painting,-0.41287285,-2.8464541,0.104959264,0.79025066,dog,elephant,7.399447
art_painting/dog/pic_024.jpg,dog,art_painting,-3.4572818,-1.1832871,-3.6787329,1.1318697,dog,dog,8.635352
art_painting/dog/pic_257.jpg,dog,art_painting,-3.5783494,-2.7483048,-1.1919854,1.3088661,dog,dog,9.69718
art_painting/dog/pic_092.jpg,dog,art_painting,-3.1188328,-2.7180614,-1.0506853,1.0022804,dog,dog,9.580016
art_painting/dog/pic_016.jpg,dog,art_painting,-4.637176,0.114797354,-5.051351,0.10664791,dog,horse,5.6368876
art_painting/dog/pic_268.jpg,dog,art_painting,3.029185,-1.4489901,0.17178653,-3.2210846,dog,elephant,1.5614607
art_painting/dog/pic_378.jpg,dog,art_painting,-3.4195554,-1.922468,-1.4386964,-0.14528261,dog,dog,8.951343
art_painting/dog/pic_261.jpg,dog,art_painting,-1.5324495,-2.3595614,0.46494642,-1.0713872,dog,dog,6.485818
art_painting/dog/pic_107.jpg,dog,art_painting,-3.4467666,-2.624956,-0.7814897,0.99115884,dog,dog,9.8868475
art_painting/elephant/pic_147.jpg,elephant,art_painting,0.4919993,-6.444262,-2.594485,-30.84263,elephant,elephant,7.6766396
art_painting/elephant/pic_251.jpg,elephant,art_painting,-0.773248,-4.4611516,-5.772216,-30.977737,elephant,elephant,7.7705126
art_painting/elephant/pic_065.jpg,elephant,art_painting,-0.6349712,-5.7087307,-5.2546372,-31.616474,elephant,elephant,7.405282
art_painting/elephant/pic_231.jpg,elephant,art_painting,-5.1240067,2.5808792,-22.784914,-1.5789244,horse,horse,-2.9688897
art_painting/elephant/pic_005.jpg,elephant,art_painting,0.1600239,-6.4536114,-3.2193408,-31.110039,elephant,elephant,7.4749775
art_painting/elephant/pic_200.jpg,elephant,art_painting,1.0694551,-7.9178343,-4.2024527,-30.224493,elephant,elephant,9.563581
art_painting/elephant/pic_172.jpg,elephant,art_painting,-3.302493,2.079979,-21.869087,-1.5937572,horse,horse,-4.0312977
art_painting/elephant/pic_032.jpg,elephant,art_painting,1.2740505,-6.4388685,-4.349293,-30.106352,elephant,elephant,7.894298
art_painting/elephant/pic_143.jpg,elephant,art_painting,0.38872153,-5.0604706,-5.4807787,-30.53796,elephant,elephant,7.712378
art_painting/elephant/pic_017.jpg,elephant,art_painting,0.73509043,-6.709523,-4.0517144,-31.585285,elephant,elephant,9.17035
art_painting/elephant/pic_140.jpg,elephant,art_painting,0.57370067,-5.070398,-5.093753,-31.126703,elephant,elephant,6.8068204
art_painting/elephant/pic_072.jpg,elephant,art_painting,1.1340098,-7.081805,-4.3350506,-29.402937,elephant,elephant,8.501419
art_painting/elephant/pic_069.jpg,elephant,art_painting,-0.20494014,-5.1328607,-1.9576032,-30.6685,elephant,elephant,4.5834975
art_painting/elephant/pic_037.jpg,elephant,art_painting,0.6106198,-7.2540627,-3.5551236,-31.80424,elephant,elephant,9.000484
art_painting/elephant/pic_023.jpg,elephant,art_painting,0.45964113,-7.4566116,-3.5077677,-31.598318,elephant,elephant,9.843305
art_painting/elephant/pic_001.jpg,elephant,art_painting,0.5353331,-5.464674,-2.0725508,-30.731518,elephant,elephant,7.2886343
art_painting/elephant/pic_101.jpg,elephant,art_painting,0.29812166,-6.9918633,-3.5962815,-32.109818,elephant,elephant,9.279628
art_painting/elephant/pic_041.jpg,elephant,art_painting,0.26485753,-6.3812413,-4.535224,-31.394344,elephant,elephant,8.493635
art_painting/giraffe/pic_306.jpg,giraffe,art_painting,-3.6667616,0.5153373,-17.173185,20.62492,giraffe,horse,8.884102
art_painting/giraffe/pic_296.jpg,giraffe,art_painting,-4.715439,1.2425201,-18.398643,20.921076,giraffe,horse,9.474018
art_painting/giraffe/pic_118.jpg,giraffe,art_painting,-2.5390735,2.2123675,-17.746809,17.845276,giraffe,horse,4.376605
art_painting/giraffe/pic_263.jpg,giraffe,art_painting,-3.5444567,0.15883791,-15.997268,22.038963,giraffe,horse,8.542646
art_painting/giraffe/pic_300.jpg,giraffe,art_painting,-4.1912684,1.0665102,-17.485699,20.341272,giraffe,horse,9.564063
art_painting/giraffe/pic_049.jpg,giraffe,art_painting,-4.8761287,2.163576,-18.87244,17.94379,giraffe,horse,7.1374564
art_painting/giraffe/pic_162.jpg,giraffe,art_painting,-4.349689,0.78084797,-17.96562,20.258184,giraffe,horse,9.838362
art_painting/giraffe/pic_159.jpg,giraffe,art_painting,-3.5455554,0.54774946,-16.210693,18.758417,giraffe,horse,6.5692945
art_painting/giraffe/pic_198.jpg,giraffe,art_painting,-0.37170857,-1.839297,-6.9416027,-29.293642,elephant,dog,-4.5457115
art_painting/giraffe/pic_093.jpg,giraffe,art_painting,-3.7635386,0.63285536,-16.81927,21.434347,giraffe,horse,8.791954
art_painting/giraffe/pic_259.jpg,giraffe,art_painting,-4.434464,0.22151858,-18.187784,17.812847,giraffe,horse,6.4972296
